year,month,rota,origin_icao,origin_city,origin_uf,origin_regiao,dest_icao,dest_city,dest_uf,dest_regiao,n_voos,n_cancelados,n_voos_com_clima,n_trigger_5mm,n_trigger_10mm,n_trigger_20mm,n_chuva_extrema_50mm,n_double_5mm,n_sem_clima,n_dia_pico_p99,freq_cancelamento,freq_chuva_5mm,freq_chuva_10mm,freq_chuva_20mm,pp_cancel_brl,pp_chuva5_brl,pp_total_brl,flag_bucket_com_pico_nacional,flag_covid_periodo,flag_covid_restrito,flag_estacao_chuvosa_tipica_destino,flag_estacao_seca_tipica_destino,flag_periodo_atipico_sugerido,flag_quebra_serie_vra_2016_2017
2024,12,SBPS→SBCY,SBPS,PORTO SEGURO,BA,NE,SBCY,VÁRZEA GRANDE,MT,CO,6,0,6.0,3,1,0,0,0,0,0,0.0,0.5,0.16666666666666666,0.0,0.0,150.0,150.0,False,False,False,True,False,False,False
2025,1,SBPV→SBJI,SBPV,PORTO VELHO,RO,N,SBJI,JI-PARANÁ,RO,N,4,0,0.0,0,0,0,0,0,4,0,0.0,,,,0.0,,0.0,False,False,False,True,False,False,False
2025,1,SBFN→SBFN,SBFN,FERNANDO DE NORONHA,PE,NE,SBFN,FERNANDO DE NORONHA,PE,NE,1,0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,False
2025,2,SBPA→SBGL,SBPA,PORTO ALEGRE,RS,S,SBGL,RIO DE JANEIRO,RJ,SE,220,1,220.0,24,0,0,0,0,0,0,0.004545454545454545,0.10909090909090909,0.0,0.0,2.2727272727272725,32.72727272727273,35.0,False,False,False,True,False,False,False
2025,2,SBBR→SBPA,SBBR,BRASÍLIA,DF,CO,SBPA,PORTO ALEGRE,RS,S,115,3,115.0,16,0,0,0,0,0,0,0.02608695652173913,0.1391304347826087,0.0,0.0,13.043478260869565,41.73913043478261,54.78260869565217,False,False,False,True,False,False,False
2025,2,SBBR→SBJP,SBBR,BRASÍLIA,DF,CO,SBJP,SANTA RITA,PB,NE,77,0,77.0,12,9,3,0,0,0,0,0.0,0.15584415584415584,0.11688311688311688,0.03896103896103896,0.0,46.75324675324675,46.75324675324675,False,False,False,True,False,False,False
2025,3,SBKP→SBCA,SBKP,CAMPINAS,SP,SE,SBCA,CASCAVEL,PR,S,50,1,50.0,11,6,0,0,1,0,0,0.02,0.22,0.12,0.0,10.0,66.0,76.0,False,False,False,True,False,False,False
2025,3,SBMA→SBCF,SBMA,MARABÁ,PA,N,SBCF,CONFINS,MG,SE,32,2,32.0,7,5,0,0,0,0,0,0.0625,0.21875,0.15625,0.0,31.25,65.625,96.875,False,False,False,True,False,False,False
2025,3,SBSV→SBCT,SBSV,SALVADOR,BA,NE,SBCT,SÃO JOSÉ DOS PINHAIS,PR,S,1,0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,False
2025,4,SBBR→SBSP,SBBR,BRASÍLIA,DF,CO,SBSP,SÃO PAULO,SP,SE,775,14,775.0,262,112,30,0,4,0,0,0.01806451612903226,0.33806451612903227,0.14451612903225808,0.03870967741935484,9.03225806451613,101.41935483870968,110.45161290322581,False,False,False,False,True,False,False
2025,4,SBFI→SBUL,SBFI,FOZ DO IGUAÇU,PR,S,SBUL,UBERLÂNDIA,MG,SE,1,0,1.0,1,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,300.0,300.0,False,False,False,False,True,False,False
