icao,cidade,uf,regiao,lat,lon,ils_cat,pais
SNHS,Serra Talhada,PE,NE,-8.061433,-38.328888,,Brazil
SNIG,IGUATU,CE,NE,-6.34664,-39.2938,,Brazil
SNJM,Manhuaçu,MG,SE,-20.259722,-42.183887,,Brazil
SNLN,Linhares,ES,SE,-19.355202,-40.07128,,Brazil
SNMZ,Porto de Moz,PA,N,-1.741307,-52.236026,,Brazil
SNPD,PATOS DE MINAS,MG,SE,-18.6728,-46.491199,,Brazil
SNRU,CARUARU,PE,NE,-8.28239,-36.0135,,Brazil
SNSM,Salinópolis,PA,N,-0.696111,-47.336111,,Brazil
SNSS,Salinas,MG,SE,-16.2083,-42.321999,,Brazil
SNSV,Ribas do Rio Pardo,MS,CO,-20.737708,-53.293808,,Brazil
SNTO,TEÓFILO OTONI,MG,SE,-17.8923,-41.513599,,Brazil
SNTS,Patos,PB,NE,-7.03899,-37.251598,,Brazil
SNVS,BREVES,PA,N,-1.63653,-50.4436,,Brazil
SNWS,Crateús,CE,NE,-5.21135,-40.704201,,Brazil
SNZR,PARACATU,MG,SE,-17.242599,-46.883099,,Brazil
SSBK,Sonora,MS,CO,-17.583754,-54.641158,,Brazil
SSBZ,Cabo Frio,RJ,SE,-22.770881,-41.96308,,Brazil
SSGG,Guarapuava,PR,S,-25.388327,-51.52349,,Brazil
SSGY,Guaíra,PR,S,-24.0811,-54.1917,,Brazil
SSKW,CACOAL,RO,N,-11.496,-61.4508,,Brazil
SSOU,Aripuanã,MT,CO,-10.187375,-59.457469,,Brazil
SSRS,Barreirinhas,MA,NE,-2.756644,-42.803187,,Brazil
SSUM,UMUARAMA,PR,S,-23.7987,-53.313801,,Brazil
SSUV,União da Vitória,PR,S,-26.233224,-51.066754,,Brazil
SSVL,Telêmaco Borba,PR,S,-24.317801,-50.6516,,Brazil
SWBC,BARCELOS,AM,N,-0.981292,-62.919601,,Brazil
SWBE,São Benedito,CE,NE,-4.042841,-40.893813,,Brazil
SWBR,BORBA,AM,N,-4.40634,-59.602402,,Brazil
SWCA,CARAUARI,AM,N,-4.87152,-66.897499,,Brazil
SWEI,EIRUNEPÉ,AM,N,-6.63953,-69.879799,,Brazil
SWGN,ARAGUAÍNA,TO,N,-7.22787,-48.240501,,Brazil
SWKO,COARI,AM,N,-4.13406,-63.132599,,Brazil
SWKQ,SÃO RAIMUNDO NONATO,PI,NE,-9.082778,-42.644444,,Brazil
SWLB,LÁBREA,AM,N,-7.27897,-64.769501,,Brazil
SWLC,RIO VERDE,GO,CO,-17.834723,-50.956112,,Brazil
SWLV,Santo Antônio Do Leverger,MT,CO,-15.8534,-56.087399,,Brazil
SWMW,MAUÉS,AM,N,-3.37217,-57.7248,,Brazil
SWPI,PARINTINS,AM,N,-2.67302,-56.777199,,Brazil
SWTP,SANTA ISABEL DO RIO NEGRO,AM,N,-0.3786,-64.9923,,Brazil
SWYN,APUÍ,AM,N,-7.17287,-59.8396,,Brazil
